,Team1,Team1_score,Team2_score,Team2,Date,Round
349,London Business School,215,145,"Gonville and Caius College, Cambridge",2006-04-02,QF
350,University of Manchester,275,140,Imperial College School of Medicine,2006-04-09,QF
351,SOAS University of London,155,225,"Trinity Hall, Cambridge",2006-04-16,QF
352,University of Liverpool,195,140,University of Hertfordshire,2006-04-23,QF
353,London Business School,60,250,University of Manchester,2006-04-30,SF
354,"Trinity Hall, Cambridge",200,140,University of Liverpool,2006-05-08,SF
355,University of Manchester,160,150,"Trinity Hall, Cambridge",2006-05-15,F
356,Aberystwyth University,205,195,University of Bristol,2006-08-07,1R
357,University College London,165,160,"Pembroke College, Cambridge",2006-08-14,1R
358,University of York,265,95,"Harris Manchester College, Oxford",2006-08-21,1R
359,"Merton College, Oxford",245,150,University of Manchester,2006-08-28,1R
360,University of Brighton,190,130,Imperial College School of Medicine,2006-09-04,1R
361,"Girton College, Cambridge",190,140,University of Sussex,2006-09-11,1R
362,Newcastle University,95,270,"Royal Holloway, University of London",2006-09-18,1R
363,Durham University,245,110,"Churchill College, Cambridge",2006-09-25,1R
364,"Robinson College, Cambridge",40,295,"Wadham College, Oxford",2006-10-01,1R
365,University of Edinburgh,195,120,University of Birmingham,2006-10-08,1R
366,"Corpus Christi College, Oxford",220,150,University of Reading,2006-10-15,1R
367,University of Warwick,195,115,"Emmanuel College, Cambridge",2006-11-05,1R
368,"Linacre College, Oxford",150,170,University of East Anglia,2006-11-12,1R
369,"Somerville College, Oxford",235,115,"Trinity Hall, Cambridge",2006-11-19,1R
370,University of Bristol,145,200,University of Manchester,2006-11-26,HSLP
371,"Pembroke College, Cambridge",185,225,University of Reading,2006-12-03,HSLP
372,University of Manchester,210,60,University of Reading,2007-01-07,2R
373,University of Brighton,110,245,University of York,2007-01-14,2R
374,"Merton College, Oxford",170,180,Aberystwyth University,2007-01-21,2R
375,Durham University,260,135,"Somerville College, Oxford",2007-01-28,2R
376,"Corpus Christi College, Oxford",45,245,University of Edinburgh,2007-02-04,2R
377,"Royal Holloway, University of London",95,170,"Wadham College, Oxford",2007-02-11,2R
378,"Girton College, Cambridge",85,185,University College London,2007-02-18,2R
379,University of Warwick,165,160,University of East Anglia,2007-02-25,2R
380,University of Manchester,230,190,"Wadham College, Oxford",2007-03-04,QF
381,Durham University,220,115,University of Edinburgh,2007-03-11,QF
382,University College London,220,145,University of York,2007-03-18,QF
383,Aberystwyth University,130,165,University of Warwick,2007-03-25,QF
384,University of Manchester,240,90,Durham University,2007-04-01,SF
385,University College London,85,235,University of Warwick,2007-04-08,SF
386,University of Manchester,140,170,University of Warwick,2007-04-16,F
387,University of Nottingham,240,185,Lancaster University,2007-07-09,1R
388,SOAS University of London,165,160,"Magdalen College, Oxford",2007-07-16,1R
389,University of Leeds,225,165,University of Liverpool,2007-07-23,1R
390,University of Birmingham,145,200,University of St Andrews,2007-07-30,1R
391,"St Cross College, Oxford",110,255,"Trinity Hall, Cambridge",2007-08-07,1R
